,a,fold,logL,log_a,sd,log_sd
0,inf,0,-5799.528279260065,inf,0.0,-inf
1,0.0,0,-inf,-inf,inf,inf
2,21.233663999999997,0,-10026.924342397,1.3270249408303112,1000.0000000000001,3.0
3,38.92089653229709,0,-9404.293678525015,1.5901828355671532,738.6199822079362,2.868421052631579
4,71.3412525920056,0,-9013.113962786123,1.8533407303039953,545.559478116852,2.736842105263158
5,130.7671398877709,0,-8601.810399869908,2.1164986250408377,402.96113202004005,2.6052631578947367
6,239.69364502501062,0,-8161.299970192877,2.3796565197776793,297.63514416313194,2.473684210526316
7,439.3538278399619,0,-7754.508777389967,2.642814414514522,219.83926488622893,2.3421052631578947
8,805.327091661045,0,-7322.406594527347,2.905972309251364,162.3776739188722,2.210526315789474
9,1476.1490249254803,0,-6920.80755857298,3.169130203988206,119.93539462092343,2.0789473684210527
10,2705.7526890025133,0,-6527.550633913363,3.432288098725048,88.58667904100828,1.9473684210526316
11,4959.592487224601,0,-6161.674205262849,3.69544599346189,65.4318912971297,1.8157894736842106
12,9090.837362672157,0,-5833.614307613212,3.958603888198732,48.329302385717554,1.6842105263157896
13,16663.329531092877,0,-5576.636433993424,4.221761782935574,35.69698846826066,1.5526315789473686
14,30543.561608737768,0,-5431.826404135121,4.4849196776724165,26.366508987303583,1.4210526315789473
15,55985.75926893838,0,-5395.418494941045,4.748077572409258,19.474830399087573,1.2894736842105265
16,102620.81682127241,0,-5432.009811662379,5.011235467146101,14.384498882876631,1.1578947368421053
17,188101.97776326127,0,-5509.265335524566,5.274393361882943,10.62467830894041,1.026315789473684
18,344787.29690948926,0,-5597.517634024802,5.537551256619785,7.847599703514615,0.8947368421052633
19,631988.4645751503,0,-5673.021009811093,5.800709151356627,5.7963939533849675,0.763157894736842
20,1158422.6650348573,0,-5725.374992230036,6.063867046093469,4.281332398719396,0.6315789473684212
21,2123366.4,0,-5757.555302810479,6.327024940830311,3.1622776601683795,0.5
22,inf,0,-5799.53064551486,inf,0.0,-inf
23,inf,1,-5737.867612061762,inf,0.0,-inf
24,0.0,1,-inf,-inf,inf,inf
25,21.233663999999997,1,-9689.782474254229,1.3270249408303112,1000.0000000000001,3.0
26,38.92089653229709,1,-9417.919390032419,1.5901828355671532,738.6199822079362,2.868421052631579
27,71.3412525920056,1,-8878.61317305173,1.8533407303039953,545.559478116852,2.736842105263158
28,130.7671398877709,1,-8449.181078793315,2.1164986250408377,402.96113202004005,2.6052631578947367
29,239.69364502501062,1,-8053.502276655789,2.3796565197776793,297.63514416313194,2.473684210526316
30,439.3538278399619,1,-7630.457560157556,2.642814414514522,219.83926488622893,2.3421052631578947
31,805.327091661045,1,-7212.822828777325,2.905972309251364,162.3776739188722,2.210526315789474
32,1476.1490249254803,1,-6820.228872463918,3.169130203988206,119.93539462092343,2.0789473684210527
33,2705.7526890025133,1,-6436.637938355094,3.432288098725048,88.58667904100828,1.9473684210526316
34,4959.592487224601,1,-6076.945900909484,3.69544599346189,65.4318912971297,1.8157894736842106
35,9090.837362672157,1,-5754.282590335364,3.958603888198732,48.329302385717554,1.6842105263157896
36,16663.329531092877,1,-5499.977957073792,4.221761782935574,35.69698846826066,1.5526315789473686
37,30543.561608737768,1,-5354.22824104147,4.4849196776724165,26.366508987303583,1.4210526315789473
38,55985.75926893838,1,-5318.1120307086385,4.748077572409258,19.474830399087573,1.2894736842105265
39,102620.81682127241,1,-5359.047204675971,5.011235467146101,14.384498882876631,1.1578947368421053
40,188101.97776326127,1,-5440.747499104295,5.274393361882943,10.62467830894041,1.026315789473684
41,344787.29690948926,1,-5532.015844031412,5.537551256619785,7.847599703514615,0.8947368421052633
42,631988.4645751503,1,-5608.943825932956,5.800709151356627,5.7963939533849675,0.763157894736842
43,1158422.6650348573,1,-5662.120211400881,6.063867046093469,4.281332398719396,0.6315789473684212
44,2123366.4,1,-5694.7337201448245,6.327024940830311,3.1622776601683795,0.5
45,inf,1,-5737.859837344524,inf,0.0,-inf
46,inf,2,-5887.338097966377,inf,0.0,-inf
47,0.0,2,-inf,-inf,inf,inf
48,21.233663999999997,2,-10315.651078129998,1.3270249408303112,1000.0000000000001,3.0
49,38.92089653229709,2,-9710.532608171681,1.5901828355671532,738.6199822079362,2.868421052631579
50,71.3412525920056,2,-9251.273689564809,1.8533407303039953,545.559478116852,2.736842105263158
51,130.7671398877709,2,-8860.861783028005,2.1164986250408377,402.96113202004005,2.6052631578947367
52,239.69364502501062,2,-8392.44887777921,2.3796565197776793,297.63514416313194,2.473684210526316
53,439.3538278399619,2,-7949.031244152252,2.642814414514522,219.83926488622893,2.3421052631578947
54,805.327091661045,2,-7524.571990658426,2.905972309251364,162.3776739188722,2.210526315789474
55,1476.1490249254803,2,-7110.00277956736,3.169130203988206,119.93539462092343,2.0789473684210527
56,2705.7526890025133,2,-6703.296194274654,3.432288098725048,88.58667904100828,1.9473684210526316
57,4959.592487224601,2,-6322.533051443469,3.69544599346189,65.4318912971297,1.8157894736842106
58,9090.837362672157,2,-5979.930901878996,3.958603888198732,48.329302385717554,1.6842105263157896
59,16663.329531092877,2,-5708.644955915611,4.221761782935574,35.69698846826066,1.5526315789473686
60,30543.561608737768,2,-5551.825687824175,4.4849196776724165,26.366508987303583,1.4210526315789473
61,55985.75926893838,2,-5505.022246890278,4.748077572409258,19.474830399087573,1.2894736842105265
62,102620.81682127241,2,-5534.060338841958,5.011235467146101,14.384498882876631,1.1578947368421053
63,188101.97776326127,2,-5607.231375325028,5.274393361882943,10.62467830894041,1.026315789473684
64,344787.29690948926,2,-5692.966859998699,5.537551256619785,7.847599703514615,0.8947368421052633
65,631988.4645751503,2,-5765.639191822226,5.800709151356627,5.7963939533849675,0.763157894736842
66,1158422.6650348573,2,-5816.113035477766,6.063867046093469,4.281332398719396,0.6315789473684212
67,2123366.4,2,-5848.0799253120595,6.327024940830311,3.1622776601683795,0.5
68,inf,2,-5887.33531907887,inf,0.0,-inf
69,inf,3,-5864.682465838035,inf,0.0,-inf
70,0.0,3,-inf,-inf,inf,inf
71,21.233663999999997,3,-10070.186846168679,1.3270249408303112,1000.0000000000001,3.0
72,38.92089653229709,3,-9503.20268504406,1.5901828355671532,738.6199822079362,2.868421052631579
73,71.3412525920056,3,-9137.281561248325,1.8533407303039953,545.559478116852,2.736842105263158
74,130.7671398877709,3,-8671.96558279845,2.1164986250408377,402.96113202004005,2.6052631578947367
75,239.69364502501062,3,-8233.31446004612,2.3796565197776793,297.63514416313194,2.473684210526316
76,439.3538278399619,3,-7812.355260610629,2.642814414514522,219.83926488622893,2.3421052631578947
77,805.327091661045,3,-7380.645389862449,2.905972309251364,162.3776739188722,2.210526315789474
78,1476.1490249254803,3,-6973.596847983316,3.169130203988206,119.93539462092343,2.0789473684210527
79,2705.7526890025133,3,-6582.600477144048,3.432288098725048,88.58667904100828,1.9473684210526316
80,4959.592487224601,3,-6213.5351587671075,3.69544599346189,65.4318912971297,1.8157894736842106
81,9090.837362672157,3,-5883.123801527733,3.958603888198732,48.329302385717554,1.6842105263157896
82,16663.329531092877,3,-5624.31859622639,4.221761782935574,35.69698846826066,1.5526315789473686
83,30543.561608737768,3,-5478.662760696238,4.4849196776724165,26.366508987303583,1.4210526315789473
84,55985.75926893838,3,-5443.896760170085,4.748077572409258,19.474830399087573,1.2894736842105265
85,102620.81682127241,3,-5484.580649337177,5.011235467146101,14.384498882876631,1.1578947368421053
86,188101.97776326127,3,-5566.526116790567,5.274393361882943,10.62467830894041,1.026315789473684
87,344787.29690948926,3,-5658.616642413334,5.537551256619785,7.847599703514615,0.8947368421052633
88,631988.4645751503,3,-5736.200558332582,5.800709151356627,5.7963939533849675,0.763157894736842
89,1158422.6650348573,3,-5789.531923194966,6.063867046093469,4.281332398719396,0.6315789473684212
90,2123366.4,3,-5822.019395070344,6.327024940830311,3.1622776601683795,0.5
91,inf,3,-5864.677152766429,inf,0.0,-inf
92,inf,4,-5831.855204089524,inf,0.0,-inf
93,0.0,4,-inf,-inf,inf,inf
94,21.233663999999997,4,-9820.741560507937,1.3270249408303112,1000.0000000000001,3.0
95,38.92089653229709,4,-9296.412638378846,1.5901828355671532,738.6199822079362,2.868421052631579
96,71.3412525920056,4,-8928.282804010232,1.8533407303039953,545.559478116852,2.736842105263158
97,130.7671398877709,4,-8504.550522015983,2.1164986250408377,402.96113202004005,2.6052631578947367
98,239.69364502501062,4,-8045.559409798097,2.3796565197776793,297.63514416313194,2.473684210526316
99,439.3538278399619,4,-7643.219161659227,2.642814414514522,219.83926488622893,2.3421052631578947
100,805.327091661045,4,-7229.601103204769,2.905972309251364,162.3776739188722,2.210526315789474
101,1476.1490249254803,4,-6842.792872422263,3.169130203988206,119.93539462092343,2.0789473684210527
102,2705.7526890025133,4,-6459.08999924945,3.432288098725048,88.58667904100828,1.9473684210526316
103,4959.592487224601,4,-6100.945442704392,3.69544599346189,65.4318912971297,1.8157894736842106
104,9090.837362672157,4,-5784.129469319964,3.958603888198732,48.329302385717554,1.6842105263157896
105,16663.329531092877,4,-5539.952472506137,4.221761782935574,35.69698846826066,1.5526315789473686
106,30543.561608737768,4,-5410.22144872923,4.4849196776724165,26.366508987303583,1.4210526315789473
107,55985.75926893838,4,-5389.3608813790315,4.748077572409258,19.474830399087573,1.2894736842105265
108,102620.81682127241,4,-5439.454697628505,5.011235467146101,14.384498882876631,1.1578947368421053
109,188101.97776326127,4,-5525.257285519619,5.274393361882943,10.62467830894041,1.026315789473684
110,344787.29690948926,4,-5619.602631267465,5.537551256619785,7.847599703514615,0.8947368421052633
111,631988.4645751503,4,-5699.327604854067,5.800709151356627,5.7963939533849675,0.763157894736842
112,1158422.6650348573,4,-5754.282904796078,6.063867046093469,4.281332398719396,0.6315789473684212
113,2123366.4,4,-5787.911224483015,6.327024940830311,3.1622776601683795,0.5
114,inf,4,-5831.847402943232,inf,0.0,-inf
